id)	curation_lvl	exact	name	dumm1	dumm2	synonyms	comments
 	0	0	3409-85 IBM RI M0360	0	0	{"Z017E0085"}	{""}
 	0	0	3409-86 IBM RI M0364	0	0	{"Z017E0086"}	{""}
 	0	0	3409-87 IBM RI M0365	0	0	{"Z017E0087"}	{""}
 	0	0	3409-88 IBM RI M0368	0	0	{"Z017E0088"}	{""}
 	0	0	3409-89 IBM RI M0369	0	0	{"Z017E0089"}	{""}
 	0	0	3409-90 IBM RI M0378	0	0	{"Z017E0090"}	{""}
 	0	0	3409-91 IBM RI M0379	0	0	{"Z017E0091"}	{""}
 	0	0	3409-92 IBM RI M0382	0	0	{"Z017E0092"}	{""}
 	0	0	3409-93 IBM RI M0383	0	0	{"Z017E0093"}	{""}
 	0	0	3409-94 IBM RI M0384	0	0	{"Z017E0094"}	{""}
 	0	0	3409A Main Set of 94 IBM RILs	0	0	{"NAM-Z017 B73 x Mo17 RILs"}	{"Annotation|Note: 3409-40 IBM RI M0062 is no longer available. All known sources were found to be contaminated and it could not be recovered due to the poor performance of the line.","Annotation|Order this to get the entire <a href="http://www.maizegdb.org/stock_catalog/RIL#rip_main">Main Set of 94 IBM RILs</a>."}
 	0	0	3409C Other IBM RILs (3410-1 -- 3411-34)	0	0	{"NAM-Z017 B73 x Mo17 RILs"}	{"Annotation|Order this to get the set of <a href="http://www.maizegdb.org/stock_catalog/RIL#other">IBM RIL numbers 3410-1 through 3411-34</a>."}
 	0	0	3410-101 IBM RI M0214	0	0	{"Z017E0151"}	{""}
 	0	0	3410-102 IBM RI M0215	0	0	{"Z017E0152"}	{""}
 	0	0	3410-104 IBM RI M0218	0	0	{"Z017E0153"}	{""}
 	0	0	3410-105 IBM RI M0219	0	0	{"Z017E0154"}	{""}
 	0	0	3410-109 IBM RI M0228	0	0	{"Z017E0156"}	{""}
 	0	0	3410-10 IBM RI M0042	0	0	{"Z017E0099"}	{""}
 	0	0	3410-110 IBM RI M0229	0	0	{"Z017E0157"}	{""}
 	0	0	3410-117 IBM RI M0248	0	0	{"Z017E0160"}	{""}
 	0	0	3410-118 IBM RI M0250	0	0	{"Z017E0161"}	{""}
 	0	0	3410-119 IBM RI M0253	0	0	{"Z017E0162"}	{""}
 	0	0	3410-11 IBM RI M0047	0	0	{"Z017E0100"}	{""}
 	0	0	3410-121 IBM RI M0256	0	0	{"Z017E0163"}	{""}
 	0	0	3410-123 IBM RI M0263	0	0	{"Z017E0165"}	{""}
 	0	0	3410-124 IBM RI M0270	0	0	{"Z017E0167"}	{""}
 	0	0	3410-125 IBM RI M0271	0	0	{"Z017E0168"}	{""}
 	0	0	3410-126 IBM RI M0274	0	0	{"Z017E0169"}	{""}
